num, ref
4042655, 9427
4042656, 6688
4042657, 1114
4042658, 6482
4042659, 4353
4042660, 9238
4042661, 5769
4042662, 7007
4042663, 7543
4042664, 8546
4042665, 7817
4042666, 6899
4042667, 7621
4042668, 2359
4042670, 6371
4042671, 6373
4042672, 6374
4042673, 6375
4042674, 6376
4042675, 5673
4042676, 6378
4042677, 6379
4042678, 7894
4042679, 5657
4042680, 5658
4042681, 5659
4042682, 5660
4042683, 5661
4042684, 3502
4042685, 689
4042686, 580
4042687, 9382
4042688, 5684
4042689, 7137
4042690, 9845
4042691, 8562
4042692, 1125
4042693, 6532
4042694, 80
4042695, 9826
4042696, 4541
4042697, 9874
4042698, 5662
4042699, 5663
4042700, 5664
4042701, 5665
4042702, 5666
4042703, 5667
4042704, 5668
4042705, 4743
4042706, 9428
4042707, 6900
4042708, 5141
4042709, 4207
4042710, 4354
4042711, 8738
4042712, 785
4042713, 917
4042714, 7510
4042715, 5230
4042716, 2418
4042717, 3259
4042718, 6530
4042719, 5669
4042720, 5670
4042721, 5671
4042722, 5672
4042723, 2501
4042724, 7050
4042725, 3001
4042726, 587
4042727, 4540
4042728, 6529
4042729, 9239
4042730, 1108
4042731, 3727
4042732, 7111
4042733, 130
4042734, 128
4042735, 127
4042736, 126
4042737, 124
4042738, 122
4042739, 1266
4042740, 1274
4042741, 1282
4042742, 1290
4042743, 1298
4042744, 1306
4042745, 5674
4042746, 5675
4042747, 5676
4042748, 5677
4042749, 5679
4042750, 5680
4042751, 5681
4042752, 1580
4042753, 3133
4042754, 9429
4042755, 690
4042756, 1784
4042757, 7311
4042758, 6723
4042759, 133
4042760, 3150
4042761, 387
4042762, 7271
4042763, 4355
4042764, 705
4042765, 2718
4042766, 1946
4042767, 1747
4042768, 9234
4042769, 6484
4042770, 4811
4042771, 5295
4042772, 9009
4042773, 4599
4042774, 2419
4042775, 435
4042776, 7122
4042777, 7901
4042778, 6212
4042779, 171
4042780, 7852
4042781, 3002
4042782, 9240
4042783, 1555
4042784, 1012
4042785, 2363
4042786, 6901
4042787, 6562
4042788, 7159
4042789, 9105
4042790, 225
4042791, 6000
4042792, 4356
4042793, 3895
4042794, 8713
4042795, 2992
4042796, 8860
4042797, 1235
4042798, 4763
4042800, 1988
4042801, 3894
4042802, 6999
4042803, 5313
4042804, 5682
4042805, 5685
4042806, 5686
4042807, 5687
4042808, 5688
4042809, 5689
4042810, 6880
4042811, 6881
4042812, 6882
4042813, 6883
4042814, 6884
4042815, 6886
4042816, 6887
4042817, 6888
4042818, 6889
4042819, 6893
4042820, 9430
4042821, 8799
4042822, 5730
4042823, 9832
4042824, 8008
4042825, 6413
4042827, 6485
